year,province,district,mean_ndvi,total_green_area_ha
2016,Bartın,Amasra,0.642775949803047,28090.701529411755
2017,Bartın,Amasra,0.680706645119428,28126.17847058823
2018,Bartın,Amasra,0.6596155582773734,28141.27764705882
2019,Bartın,Amasra,0.6705802015697698,28159.914352941174
2020,Bartın,Amasra,0.661813419940204,28098.324352941167
2021,Bartın,Amasra,0.6949386854355087,28172.617058823536
2022,Bartın,Amasra,0.6924165079265661,28145.87188235295
2023,Bartın,Amasra,0.6884962591495629,28122.099882352948
2024,Bartın,Amasra,0.671187076360051,28071.397764705885
2016,Bartın,Kurucasile,0.7084585406603363,27777.15599999998
2017,Bartın,Kurucasile,0.741624553625767,27738.584117647046
2018,Bartın,Kurucasile,0.7124175512193723,27699.13447058823
2019,Bartın,Kurucasile,0.7291832448368395,27749.53129411764
2020,Bartın,Kurucasile,0.7268699986262199,27742.555764705874
2021,Bartın,Kurucasile,0.7437745691107259,27784.75058823528
2022,Bartın,Kurucasile,0.74958430091017,27791.425764705866
2023,Bartın,Kurucasile,0.7484405220268958,27793.810235294102
2024,Bartın,Kurucasile,0.7305671687213361,27772.256470588232
2016,Bartın,Merkez,0.6424686581432292,174256.960588235
2017,Bartın,Merkez,0.6712523266459259,174198.26329411735
2018,Bartın,Merkez,0.6488638287157931,173901.58305882325
2019,Bartın,Merkez,0.6668192246127055,174088.08529411737
2020,Bartın,Merkez,0.6715647678067697,173911.93482352913
2021,Bartın,Merkez,0.6970928352625244,174183.24599999975
2022,Bartın,Merkez,0.692686609831754,173477.2619999997
2023,Bartın,Merkez,0.6927241837910774,173105.71305882322
2024,Bartın,Merkez,0.6569896399574051,172948.44741176444
2016,Bartın,Ulus,0.6768268580425718,112044.43058823553
2017,Bartın,Ulus,0.7150659926743796,112095.8089411767
2018,Bartın,Ulus,0.685010048952914,112029.67658823552
2019,Bartın,Ulus,0.7023012754153514,112142.12929411788
2020,Bartın,Ulus,0.7103432011641735,112080.07588235317
2021,Bartın,Ulus,0.7243996434931272,112206.30070588258
2022,Bartın,Ulus,0.7285409173695971,111891.53505882378
2023,Bartın,Ulus,0.7337189049639362,111850.53388235316
2024,Bartın,Ulus,0.6956234738867415,111862.0369411767
2016,Bartın,Toplam,0.6591016205286025,342169.24870588223
2017,Bartın,Toplam,0.6920884629571367,342158.8348235293
2018,Bartın,Toplam,0.6667482831060664,341771.67176470585
2019,Bartın,Toplam,0.683816709921957,342139.660235294
2020,Bartın,Toplam,0.6879663541334827,341832.89082352933
2021,Bartın,Toplam,0.7096542110167169,342346.91435294115
2022,Bartın,Toplam,0.7090515658043803,341306.0947058823
2023,Bartın,Toplam,0.7103699566647256,340872.15705882345
2024,Bartın,Toplam,0.6768444266041043,340654.13858823525
