year,province,mean_ndvi,total_green_area_ha
2016,Bartın,0.326416198185338,271060.75729411776
2016,Bartın,0.7145910923575279,342463.1587058824
2016,Bartın,0.6462499513360025,341944.88788235304
2016,Bartın,0.39568421564575773,290425.16894117655
2017,Bartın,0.4443661721052898,332638.68458823534
2017,Bartın,0.7033714032381395,341308.03376470594
2017,Bartın,0.6827268529072289,342079.26776470593
2017,Bartın,0.45857303268933824,328857.3924705883
2018,Bartın,0.3500915137207135,286478.3791764706
2018,Bartın,0.6973965961600603,341921.19741176476
2018,Bartın,0.6502616872788648,341556.6974117647
2018,Bartın,0.5060723377889867,329230.0736470588
2019,Bartın,0.4068891782394874,328889.79776470596
2019,Bartın,0.6689961118651273,341798.8485882353
2019,Bartın,0.6819666150242654,342095.7483529412
2019,Bartın,0.534881155283229,337092.954
2020,Bartın,0.3920059158340102,325589.5394117647
2020,Bartın,0.6065307853204405,340967.0601176471
2020,Bartın,0.6753257126379413,341587.70576470596
2020,Bartın,0.5374978812306465,338346.0596470589
2021,Bartın,0.36470104020278277,298958.4190588236
2021,Bartın,0.7015590745429449,339852.0070588235
2021,Bartın,0.6998708674810238,342312.5523529412
2021,Bartın,0.45963053154945,321761.61
2022,Bartın,0.2652883652450194,231635.07
2022,Bartın,0.6985948078923978,341499.5675294118
2022,Bartın,0.7037392582186449,341176.7276470588
2022,Bartın,0.513107835366953,332581.17705882346
2023,Bartın,0.3680471712527407,297942.4132941177
2023,Bartın,0.6789222004918428,340870.9210588235
2023,Bartın,0.6981983209713892,340714.6750588236
2023,Bartın,0.5671041273447066,338359.43152941176
2024,Bartın,0.3350437045820028,271515.74223529414
2024,Bartın,0.7018651280660932,340709.9590588236
2024,Bartın,0.6649265938638662,340463.96647058823
2024,Bartın,0.5573155433601458,336214.73188235296
